"state","fips","county","latitude","longitude","I0","R0","A0","S0"
"NH",33009,"Grafton",43.926488,-71.842264,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33011,"Hillsborough",42.911643,-71.723101,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33013,"Merrimack",43.299485,-71.68013,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33015,"Rockingham",42.98936,-71.099437,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33017,"Strafford",43.293177,-71.035927,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NH",33019,"Sullivan",43.361188,-72.222084,0.0010810517801077,0.000701479728514938,0.135908287580903,0.862100659287521
"NJ",34001,"Atlantic",39.469354,-74.633758,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34003,"Bergen",40.95909,-74.074522,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34005,"Burlington",39.875786,-74.663006,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34007,"Camden",39.802352,-74.961251,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34009,"Cape May",39.086143,-74.847716,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34011,"Cumberland",39.328387,-75.121644,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34013,"Essex",40.787217,-74.246136,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34015,"Gloucester",39.721019,-75.143708,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34017,"Hudson",40.731384,-74.078627,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34019,"Hunterdon",40.565283,-74.91197,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34021,"Mercer",40.282503,-74.703724,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34023,"Middlesex",40.439593,-74.407585,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34025,"Monmouth",40.287056,-74.152446,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34027,"Morris",40.858581,-74.547427,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34029,"Ocean",39.86585,-74.263027,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34031,"Passaic",41.033763,-74.300308,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34033,"Salem",39.573828,-75.357356,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34035,"Somerset",40.565522,-74.61993,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34037,"Sussex",41.137424,-74.691855,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34039,"Union",40.659871,-74.308696,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NJ",34041,"Warren",40.853524,-75.009542,0.0133470271242066,0.000837207849315716,0.211513379187721,0.774038011134065
"NM",35001,"Bernalillo",35.054002,-106.66906,0.00149118012714535,0.000382405020699794,0.131244468016269,0.866749790003027
"NM",35003,"Catron",33.901814,-108.39209,0.00149118012714535,0.000382405020699794,0.131244468016269,0.866749790003027
